0.04679584503173828|5.26|99.54|-75.96|99.00|0.00|0.00|0.00|0.00
0.12884283065795898|0.13|-40.77|-22.51|-48.16|-23.87|-75.26|99.52|-75.57|98.79|0.00|0.00|0.00|0.00
0.2115797996520996|0.18|-40.92|-22.55|-47.90|-24.08|-75.26|99.48|-75.21|98.69|0.00|0.00|0.00|0.00
0.2933621406555176|0.16|-41.03|-22.61|-47.93|-24.80|-75.26|99.45|-75.53|98.77|0.00|0.00|0.00|0.00
0.3747141361236572|0.15|-41.18|-22.65|-47.70|-24.04|-75.26|99.46|-76.40|99.00|0.00|0.00|0.00|0.00
0.4567887783050537|0.16|-41.33|-22.66|-47.82|-24.21|-75.30|99.44|-75.78|99.73|0.00|0.00|0.00|0.00
0.538609504699707|0.18|-41.46|-22.73|-48.08|-24.58|-75.30|99.45|-75.20|99.31|0.00|0.00|0.00|0.00
0.6203396320343018|0.16|-41.59|-22.76|-48.10|-24.32|-75.31|99.54|-76.88|99.57|0.00|0.00|0.00|0.00
0.7030091285705566|0.16|-41.75|-22.79|-47.65|-24.54|-75.31|99.50|-75.54|99.21|0.00|0.00|0.00|0.00
0.7850341796875|0.18|-41.87|-22.81|-48.27|-24.18|-75.31|99.47|-75.76|98.49|0.00|0.00|0.00|0.00
0.86688232421875|0.18|-41.98|-22.84|-47.99|-23.84|-75.29|99.43|-75.52|98.34|0.00|0.00|0.00|0.00
0.9480545520782471|0.16|-42.10|-22.86|-48.16|-24.44|-75.30|99.39|-75.05|98.46|0.00|0.00|0.00|0.00
1.0341815948486328|0.18|-42.24|-22.81|-48.07|-24.46|-75.33|99.38|-76.72|98.92|0.00|0.00|0.00|0.00
1.1163992881774902|0.15|-42.37|-22.88|-48.19|-24.03|-75.35|99.35|-76.44|99.47|0.00|0.00|0.00|0.00
1.1982998847961426|0.15|-42.46|-22.93|-48.21|-24.24|-75.36|99.35|-74.84|98.90|0.00|0.00|0.00|0.00
1.2802071571350098|0.15|-42.59|-22.95|-48.05|-24.40|-75.39|99.37|-76.57|99.72|0.00|0.00|0.00|0.00
1.3622987270355225|0.18|-42.72|-22.97|-47.90|-24.37|-75.38|99.35|-74.82|98.60|0.00|0.00|0.00|0.00
1.4438426494598389|0.16|-42.80|-23.01|-47.78|-24.48|-75.43|99.38|-76.74|99.76|0.00|0.00|0.00|0.00
1.525989294052124|0.18|-42.91|-23.02|-47.74|-24.18|-75.44|99.40|-76.82|99.60|0.00|0.00|0.00|0.00
1.6082146167755127|0.16|-43.00|-23.05|-47.69|-24.49|-75.47|99.41|-76.75|99.55|0.00|0.00|0.00|0.00
1.6898956298828125|0.16|-43.08|-23.13|-48.20|-24.53|-75.49|99.38|-76.25|99.13|0.00|0.00|0.00|0.00
1.7719175815582275|0.15|-43.18|-23.15|-47.63|-24.30|-75.48|99.41|-75.61|98.17|0.00|0.00|0.00|0.00
1.8528773784637451|0.15|-43.28|-23.18|-47.77|-24.57|-75.49|99.41|-76.19|99.30|0.00|0.00|0.00|0.00
